(2, 829)
(4, 396)
(6, 7)
(8, 262)
(10, 3)
(12, 8)
(14, 11)
(16, 8)
(18, 787)
(20, 4)
(22, 4)
(24, 1)
(26, 153)
(28, 2)
(30, 285)
(32, 131)
(34, 209)
(36, 208)
(38, 134)
(40, 4)
(42, 2)
(44, 348)
(46, 112)
(50, 6)
(52, 10236)
(54, 1229)
(56, 2519)
(58, 208)
(60, 758)
(62, 446)
(1, 2)
(3, 116)
(5, 13)
(7, 269)
(9, 5)
(11, 4)
(13, 7)
(15, 3)
(17, 841)
(19, 6)
(21, 5)
(23, 277)
(25, 2)
(27, 124)
(29, 122)
(33, 5)
(35, 1)
(37, 186)
(39, 3)
(41, 1)
(43, 631)
(45, 3)
(47, 492)
(49, 1)
(51, 12607)
(53, 4545)
(55, 3353)
(57, 1575)
(59, 39)
(61, 113)
